Default_ID,Loan_ID,Customer_ID,Default_Date,Default_Amount,Default_Reason,Recovery_Status,Recovery_Amount,Legal_Action
D000001,L007312,C007312,2022-07-20,94480,Job Loss,Full,30360,Yes
D000002,L028234,C028234,2023-09-23,10912,Job Loss,Partial,0,Yes
D000003,L008319,C008319,2024-08-04,73711,Other,None,9866,Yes
D000004,L046668,C046668,2021-10-16,48955,Other,None,0,Yes
D000005,L082934,C082934,2024-10-07,56952,Medical Emergency,None,0,No
D000006,L089180,C089180,2021-04-27,24702,Other,Partial,15650,Yes
D000007,L039073,C039073,2022-09-06,73374,Other,Partial,16247,Yes
D000008,L011704,C011704,2021-08-29,38792,Medical Emergency,None,0,Yes
D000009,L012869,C012869,2023-03-28,93313,Medical Emergency,None,0,No
D000010,L048873,C048873,2023-01-17,95669,Medical Emergency,None,0,Yes
D000011,L001059,C001059,2021-02-21,90365,Other,Partial,0,Yes
D000012,L009803,C009803,2021-10-07,5821,Business Failure,Full,0,No
D000013,L037284,C037284,2023-12-23,60664,Business Failure,Partial,18140,Yes
D000014,L014136,C014136,2024-07-08,70760,Business Failure,None,0,Yes
D000015,L024084,C024084,2021-09-22,64707,Business Failure,Full,0,No
D000016,L060336,C060336,2022-12-04,29131,Medical Emergency,Full,35730,Yes
D000017,L005164,C005164,2022-05-21,66792,Medical Emergency,Partial,0,Yes
D000018,L007846,C007846,2022-10-15,25830,Business Failure,None,0,Yes
D000019,L004732,C004732,2021-07-09,99979,Medical Emergency,Full,23330,Yes
D000020,L040311,C040311,2022-12-11,62844,Business Failure,Full,32128,Yes
D000021,L087491,C087491,2022-11-02,45600,Other,Partial,37074,No
D000022,L088531,C088531,2024-02-05,96836,Business Failure,None,23753,No
D000023,L016964,C016964,2021-11-15,75593,Medical Emergency,Full,6821,No
D000024,L000229,C000229,2022-12-13,89143,Other,Full,0,Yes
D000025,L037154,C037154,2023-12-13,92051,Other,Partial,1895,No
D000026,L019446,C019446,2024-03-29,87180,Job Loss,None,8292,No
D000027,L062133,C062133,2022-12-29,14197,Medical Emergency,Full,48215,No
D000028,L012291,C012291,2022-01-13,66709,Medical Emergency,None,0,No
D000029,L064884,C064884,2022-03-26,54227,Job Loss,Partial,0,No
D000030,L054467,C054467,2022-09-06,8520,Job Loss,Partial,40646,Yes
D000031,L056953,C056953,2022-05-04,96442,Business Failure,Full,49837,No
D000032,L018205,C018205,2023-07-24,70903,Business Failure,None,0,Yes
D000033,L026007,C026007,2021-07-25,14303,Business Failure,Partial,0,No
D000034,L085497,C085497,2023-01-25,43499,Job Loss,Full,31277,Yes
D000035,L079107,C079107,2021-02-01,14597,Other,None,15035,No
D000036,L023424,C023424,2023-12-27,95286,Other,Partial,44488,Yes
D000037,L052925,C052925,2022-07-09,34904,Business Failure,None,11204,No
D000038,L062783,C062783,2023-02-16,6275,Other,None,0,Yes
D000039,L044451,C044451,2022-04-30,59311,Job Loss,Full,0,Yes
D000040,L017650,C017650,2021-05-16,78367,Job Loss,None,0,No
D000041,L085016,C085016,2022-07-26,96894,Other,None,0,Yes
D000042,L010293,C010293,2022-04-19,34620,Business Failure,Partial,15839,No
D000043,L042745,C042745,2021-11-07,54093,Medical Emergency,Full,37507,No
D000044,L017243,C017243,2022-09-22,13676,Business Failure,Full,32544,Yes
D000045,L036469,C036469,2023-02-14,56947,Business Failure,None,22433,No
D000046,L037821,C037821,2021-04-11,71358,Other,Full,0,No
D000047,L031292,C031292,2024-11-02,15665,Job Loss,Full,0,No
D000048,L082178,C082178,2023-04-25,16903,Job Loss,Partial,0,No
D000049,L010093,C010093,2022-05-28,39910,Job Loss,None,0,No
D000050,L010359,C010359,2021-04-29,78135,Medical Emergency,None,0,Yes
D000051,L039156,C039156,2021-06-20,96020,Other,Full,5059,Yes
D000052,L088612,C088612,2024-07-31,35639,Medical Emergency,Full,39230,Yes
D000053,L063172,C063172,2024-12-15,97346,Other,None,33377,No
D000054,L026283,C026283,2023-01-01,84095,Other,Full,0,Yes
D000055,L047803,C047803,2022-04-07,29842,Job Loss,Full,0,Yes
D000056,L075272,C075272,2022-03-17,21251,Other,Full,0,Yes
D000057,L034054,C034054,2022-03-03,47887,Business Failure,Partial,8782,No
D000058,L037358,C037358,2021-04-25,56462,Business Failure,None,0,Yes
D000059,L023123,C023123,2021-05-25,8389,Other,Full,32879,No
D000060,L081543,C081543,2024-03-02,51450,Business Failure,Full,25468,Yes
D000061,L013639,C013639,2022-01-09,96807,Business Failure,Partial,0,No
